School Name,Primary Division,Sport Division,Subdivision,Membership Status,Primary Conference,Sport Conference,HBCU/Non-HBCU,Public/Private,Carnegie Classification,City/State ,Primary URL,Secondary URL,Primary Icon
Humboldt State University,Division II,Division II,Non-DI,Active Member,California Collegiate Athletic Association,California Collegiate Athletic Association,Non-HBCU,Public,Master's Colleges & Universities,"Arcata, CA",www.hsulumberjacks.com,www.humboldt.edu,50_50.site.png
Sonoma State University,Division II,Division II,Non-DI,Active Member,California Collegiate Athletic Association,California Collegiate Athletic Association,Non-HBCU,Public,Master's Colleges & Universities,"Rohnert Park, CA",www.sonoma.edu/,www.sonomaseawolves.com,51_51.favicon.ico
"California State University, East Bay",Division II,Division II,Non-DI,Active Member,California Collegiate Athletic Association,California Collegiate Athletic Association,Non-HBCU,Public,Master's Colleges & Universities,"Hayward, CA",www.csueastbay.edu,www.eastbaypioneers.com,52_52.favicon.ico
Dominican University of California,Division II,Division II,Non-DI,Active Member,Pacific West Conference,Pacific West Conference,Non-HBCU,Private,Master's Colleges & Universities,"San Rafael, CA",www.dominican.edu,www.dominicanathletics.com,53_53.favicon.ico
"University of California, Berkeley",Division I,Division I,DI FBS,Active Member,Pac-12 Conference,Pac-12 Conference,Non-HBCU,Public,Research Universities,"Berkeley, CA",www.berkeley.edu,www.calbears.com,54_54.site.png
Colorado Mesa University,Division II,Division II,Non-DI,Active Member,Rocky Mountain Athletic Conference,Rocky Mountain Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Grand Junction, CO",www.cmumavericks.com,www.coloradomesa.edu,55_55.site.png
"California State University, Monterey Bay",Division II,Division II,Non-DI,Active Member,California Collegiate Athletic Association,California Collegiate Athletic Association,Non-HBCU,Public,Master's Colleges & Universities,"Seaside, CA",www.csumb.edu,www.otterathletics.com,56_56.favicon.ico
Stanford University,Division I,Division I,DI FBS,Active Member,Pac-12 Conference,Pac-12 Conference,Non-HBCU,Private,Research Universities,"Stanford, CA",www.gostanford.com,www.stanford.edu,57_57.site.png
Notre Dame de Namur University,Division II,Division II,Non-DI,Active Member,Pacific West Conference,Pacific West Conference,Non-HBCU,Private,Master's Colleges & Universities,"Belmont, CA",www.ndnu.edu/,www.ndnuargos.com,58_58.site.png
Saint Mary's College of California,Division I,Division I,DI Subdivision,Active Member,West Coast Conference,West Coast Conference,Non-HBCU,Private,Master's Colleges & Universities,"Moraga, CA",www.SMCGaels.com,www.stmarys-ca.edu/,59_59.site.png
Academy of Art University,Division II,Division II,Non-DI,Active Member,Pacific West Conference,Pacific West Conference,Non-HBCU,Private,Master's Colleges & Universities,"San Francisco, CA",www.academyart.edu,www.artuathletics.com,60_60.favicon.ico
San Francisco State University,Division II,Division II,Non-DI,Active Member,California Collegiate Athletic Association,California Collegiate Athletic Association,Non-HBCU,Public,Master's Colleges & Universities,"San Francisco, CA",sfstategators.com,www.sfsu.edu/,61_61.site.png
"California State University, Stanislaus",Division II,Division II,Non-DI,Active Member,California Collegiate Athletic Association,California Collegiate Athletic Association,Non-HBCU,Public,Master's Colleges & Universities,"Turlock, CA",www.csustan.edu,www.warriorathletics.com,64_64.site.png
University of the Pacific,Division I,Division I,DI Subdivision,Active Member,West Coast Conference,West Coast Conference,Non-HBCU,Private,Research Universities,"Stockton, CA",www.pacific.edu/,www.pacifictigers.com,65_65.pacifictigers.com
"University of California, Davis",Division I,Division I,DI FCS,Active Member,Big West Conference,Big West Conference,Non-HBCU,Public,Research Universities,"Davis, CA",www.ucdavis.edu,www.ucdavisaggies.com,67_67.favicon.ico
"California State University, Fresno",Division I,Division I,DI FBS,Active Member,Mountain West Conference,Mountain West Conference,Non-HBCU,Public,Research Universities,"Fresno, CA",www.csufresno.edu,www.gobulldogs.com,68_68.favicon.ico
Fresno Pacific University,Division II,Division II,Non-DI,Active Member,Pacific West Conference,Pacific West Conference,Non-HBCU,Private,Master's Colleges & Universities,"Fresno, CA",fpuathletics.com/,www.fresno.edu,69_69.site.png
"California State University, Bakersfield",Division I,Division I,DI Subdivision,Active Member,Western Athletic Conference,Western Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Bakersfield, CA",www.csub.edu,www.gorunners.com,70_70.favicon.ico
California Polytechnic State University,Division I,Division I,DI FCS,Active Member,Big West Conference,Big West Conference,Non-HBCU,Public,Master's Colleges & Universities,"San Luis Obispo, CA",gopoly.com,www.calpoly.edu,72_72.gopoly.com
