School Name,Primary Division,Sport Division,Subdivision,Membership Status,Primary Conference,Sport Conference,HBCU/Non-HBCU,Public/Private,Carnegie Classification,City/State ,Primary URL,Secondary URL,Primary Icon,Updated Latitude,Updated Longitude
Muhlenberg College,Division III,Division III,Non-DI,Active Member,Centennial Conference,Centennial Conference,Non-HBCU,Private,Baccalaureate Colleges,"Allentown, PA",www.muhlenberg.edu,www.muhlenberg.edu/main/athletics/,270_270.favicon.png,40.6022059,-75.4712794
Cedar Crest College,Division III,Division III,Non-DI,Active Member,Colonial States Athletic Conference,Colonial States Athletic Conference,Non-HBCU,Private,Master's Colleges & Universities,"Allentown, PA",www.cedarcrest.edu,www.cedarcrestathletics.com,271_271.favicon.ico,40.6022059,-75.4712794
Lafayette College,Division I,Division I,DI FCS,Active Member,Patriot League,Patriot League,Non-HBCU,Private,Baccalaureate Colleges,"Easton, PA",www.goleopards.com,www.lafayette.edu,272_272.site.png,40.6916081,-75.2099866
Bryn Athyn College,Division III,Division III,Non-DI,Active Member,Colonial States Athletic Conference,Colonial States Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Bryn Athyn, PA",www.brynathyn.edu,www.brynathynathletics.com,273_273.site.png,40.1314988,-75.0673938
"Penn State University, Abington",Division III,Division III,Non-DI,Active Member,North Eastern Athletic Conference,North Eastern Athletic Conference,Non-HBCU,Public,Baccalaureate Colleges,"Abington, PA",www.abington.psu.edu,www.abingtonsports.com,274_274.favicon.ico,40.1206656,-75.1179512
Arcadia University,Division III,Division III,Non-DI,Active Member,Middle Atlantic Conferences,Middle Atlantic Conference Commonwealth,Non-HBCU,Private,Master's Colleges & Universities,"Glenside, PA",athletics.arcadia.edu,www.arcadia.edu,275_275.site.png,40.1023326,-75.1521195
Chestnut Hill College,Division II,Division II,Non-DI,Active Member,Central Atlantic Collegiate Conference,Central Atlantic Collegiate Conference,Non-HBCU,Private,Master's Colleges & Universities,"Philadelphia, PA",www.chc.edu,www.griffinathletics.com,276_276.site.png,39.9527237,-75.1635262
Holy Family University,Division II,Division II,Non-DI,Active Member,Central Atlantic Collegiate Conference,Central Atlantic Collegiate Conference,Non-HBCU,Private,Master's Colleges & Universities,"Philadelphia, PA",athletics.holyfamily.edu,www.holyfamily.edu,277_277.favicon.ico,39.9527237,-75.1635262
La Salle University,Division I,Division I,DI Subdivision,Active Member,Atlantic 10 Conference,Atlantic 10 Conference,Non-HBCU,Private,Master's Colleges & Universities,"Philadelphia, PA",www.goexplorers.com/,www.lasalle.edu/,278_278.favicon.ico,39.9527237,-75.1635262
Thomas Jefferson University,Division II,Division II,Non-DI,Active Member,Central Atlantic Collegiate Conference,Central Atlantic Collegiate Conference,Non-HBCU,Private,-2.0,"Philadelphia, PA",www.Philaurams.com,www.philau.edu,279_279.site.png,39.9527237,-75.1635262
