School Name,Primary Division,Sport Division,Subdivision,Membership Status,Primary Conference,Sport Conference,HBCU/Non-HBCU,Public/Private,Carnegie Classification,City/State ,Primary URL,Secondary URL,Primary Icon
Rice University,Division I,Division I,DI FBS,Active Member,Conference USA,Conference USA,Non-HBCU,Private,Research Universities,"Houston, TX",www.rice.edu,www.riceowls.com,122_122.site.png
University of Texas at Austin,Division I,Division I,DI FBS,Active Member,Big 12 Conference,Big 12 Conference,Non-HBCU,Public,Research Universities,"Austin, TX",www.TexasSports.com,www.utexas.edu,123_123.tower_hero_v2.jpg
University of Texas at San Antonio,Division I,Division I,DI FBS,Active Member,Conference USA,Conference USA,Non-HBCU,Public,Research Universities,"San Antonio, TX",www.goutsa.com,www.utsa.edu,124_124.monument340.jpg
Texas State University,Division I,Division I,DI FBS,Active Member,Sun Belt Conference,Sun Belt Conference,Non-HBCU,Public,Research Universities,"San Marcos, TX",www.txstate.edu/,www.txstatebobcats.com,125_125.favicon.ico
University of Texas at El Paso,Division I,Division I,DI FBS,Active Member,Conference USA,Conference USA,Non-HBCU,Public,Research Universities,"El Paso, TX",www.utep.edu/,www.utepathletics.com,126_126.favicon.ico
Kent State University,Division I,Division I,DI FBS,Active Member,Mid-American Conference,Mid-American Conference,Non-HBCU,Public,Research Universities,"Kent, OH",www.kent.edu/,www.kentstatesports.com,127_127.favicon.ico
Georgia Southern University,Division I,Division I,DI FBS,Active Member,Sun Belt Conference,Sun Belt Conference,Non-HBCU,Public,Research Universities,"Statesboro, GA",www.georgiasouthern.edu,www.gseagles.com/,128_128.favicon.ico
"University of Maine, Orono",Division I,Division I,DI FCS,Active Member,America East Conference,Colonial Athletic Association,Non-HBCU,Public,Research Universities,"Orono, ME",www.goblackbears.com,www.umaine.edu,129_129.favicon.ico
University of New Hampshire,Division I,Division I,DI FCS,Active Member,America East Conference,Colonial Athletic Association,Non-HBCU,Public,Research Universities,"Durham, NH",www.unh.edu/,www.unhwildcats.com,130_130.site.png
Harvard University,Division I,Division I,DI FCS,Active Member,The Ivy League,The Ivy League,Non-HBCU,Private,Research Universities,"Boston, MA",www.gocrimson.com,www.harvard.edu,131_131.favicon.ico
Brown University,Division I,Division I,DI FCS,Active Member,The Ivy League,The Ivy League,Non-HBCU,Private,Research Universities,"Providence, RI",brownbears.com,www.brown.edu,132_132.favicon.ico
