Stevens Institute of Technology,Division III,Division III,Non-DI,Active Member,Middle Atlantic Conferences,Middle Atlantic Conferences,Non-HBCU,Private,Research Universities,"Hoboken, NJ",www.stevens.edu,www.stevensducks.com,543_543.favicon.ico
College of Staten Island,Division III,Division III,Non-DI,Reclass DIII to DII (B20.6.3.1),City University of New York Athletic Conference,City University of New York Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Staten Island, NY",www.csi.cuny.edu,www.csidolphins.com,544_544.site.png
Medgar Evers College,Division III,Division III,Non-DI,Active Member,City University of New York Athletic Conference,City University of New York Athletic Conference,Non-HBCU,Public,Baccalaureate Colleges,"Brooklyn, NY",www.mec.cuny.edu,www.mecathletics.com,545_545.site.png
Brooklyn College,Division III,Division III,Non-DI,Active Member,City University of New York Athletic Conference,City University of New York Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Brooklyn, NY",brooklyncollegeathletics.com,www.brooklyn.cuny.edu,546_546.site.png
Long Island University,Division I,Division I,DI FCS,Active Member,Northeast Conference,Northeast Conference,Non-HBCU,Private,-2.0,"Brookville, NY",www.brooklyn.liu.edu,www.liuathletics.com,547_547.site.png
"Rutgers, The State Univ. of New Jersey, Newark",Division III,Division III,Non-DI,Active Member,New Jersey Athletic Conference,New Jersey Athletic Conference,Non-HBCU,Public,Research Universities,"Newark, NJ",www.newark.rutgers.edu,www.rutgersnewarkathletics.com,548_548.site.png
Kean University,Division III,Division III,Non-DI,Active Member,New Jersey Athletic Conference,New Jersey Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Union, NJ",www.kean.edu,www.keanathletics.com,549_549.site.png
Pratt Institute,Division III,Division III,Non-DI,Provisional Member,American Collegiate Athletic Association,American Collegiate Athletic Association,Non-HBCU,Private,Special Focus Schools,"Brooklyn, NY",goprattgo.com,www.pratt.edu,550_550.goprattgo.com
Columbia University-Barnard College,Division I,Division I,DI FCS,Active Member,The Ivy League,The Ivy League,Non-HBCU,Private,Research Universities,"New York, NY",www.columbia.edu,www.gocolumbialions.com/,551_551.favicon.ico
John Jay College of Criminal Justice,Division III,Division III,Non-DI,Active Member,City University of New York Athletic Conference,City University of New York Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"New York, NY",www.jjay.cuny.edu/,www.johnjayathletics.com,552_552.favicon.ico
