School Name,Primary Division,Sport Division,Subdivision,Membership Status,Primary Conference,Sport Conference,HBCU/Non-HBCU,Public/Private,Carnegie Classification,City/State,Primary URL,Secondary URL
University of Akron,Division I,Division I,DI FBS,Active Member,Mid-American Conference,Mid-American Conference,Non-HBCU,Public,Research Universities,"Akron, OH",www.gozips.com,www.uakron.edu
Central Michigan University,Division I,Division I,DI FBS,Active Member,Mid-American Conference,Mid-American Conference,Non-HBCU,Public,Research Universities,"Mount Pleasant, MI",www.cmich.edu,www.cmuchippewas.com
Northern Illinois University,Division I,Division I,DI FBS,Active Member,Mid-American Conference,Mid-American Conference,Non-HBCU,Public,Research Universities,"De Kalb, IL",www.niu.edu,www.niuhuskies.com
University of Wyoming,Division I,Division I,DI FBS,Active Member,Mountain West Conference,Mountain West Conference,Non-HBCU,Public,Research Universities,"Laramie, WY",www.gowyo.com,www.uwyo.edu
Eastern Illinois University,Division I,Division I,DI FCS,Active Member,Ohio Valley Conference,Ohio Valley Conference,Non-HBCU,Public,Master's Colleges & Universities,"Charleston, IL",www.eiu.edu,www.eiupanthers.com
Abilene Christian University,Division I,Division I,DI FCS,Active Member,Southland Conference,Southland Conference,Non-HBCU,Private,Master's Colleges & Universities,"Abilene, TX",www.acu.edu,www.acusports.com
Mississippi Valley State University,Division I,Division I,DI FCS,Active Member,Southwestern Athletic Conf.,Southwestern Athletic Conf.,HBCU,Public,Master's Colleges & Universities,"Itta Bena, MS",www.mvsu.edu,www.mvsusports.com
Jackson State University,Division I,Division I,DI FCS,Active Member,Southwestern Athletic Conf.,Southwestern Athletic Conf.,HBCU,Public,Research Universities,"Jackson, MS",www.jsums.edu/,www.jsutigers.com
Grambling State University,Division I,Division I,DI FCS,Active Member,Southwestern Athletic Conf.,Southwestern Athletic Conf.,HBCU,Public,Master's Colleges & Universities,"Grambling, LA",www.gram.edu,www.gsutigers.com
Portland State University,Division I,Division I,DI FCS,Active Member,Big Sky Conference,Big Sky Conference,Non-HBCU,Public,Research Universities,"Portland, OR",www.goviks.com,www.pdx.edu/
Campbell University,Division I,Division I,DI FCS,Active Member,Big South Conference,Big South Conference,Non-HBCU,Private,Research Universities,"Buies Creek, NC",www.campbell.edu,www.gocamels.com
University at Albany,Division I,Division I,DI FCS,Active Member,America East Conference,Colonial Athletic Association,Non-HBCU,Public,Research Universities,"Albany, NY",www.albany.edu,www.ualbanysports.com
University of Delaware,Division I,Division I,DI FCS,Active Member,Colonial Athletic Association,Colonial Athletic Association,Non-HBCU,Public,Research Universities,"Newark, DE",www.bluehens.com,www.udel.edu
Robert Morris University,Division I,Division I,DI FCS,Active Member,Northeast Conference,Northeast Conference,Non-HBCU,Private,Research Universities,"Moon Township, PA",www.rmu.edu/,www.rmucolonials.com
North Dakota State University,Division I,Division I,DI FCS,Active Member,The Summit League,Missouri Valley Football Conference,Non-HBCU,Public,Research Universities,"Fargo, ND",www.GoBison.com,www.ndsu.edu/
