Transylvania University,Division III,Division III,Non-DI,Active Member,Heartland Collegiate Athletic Conference,Heartland Collegiate Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Lexington, KY",www.transy.edu/,www.transysports.com,38.0464066,-84.4970393,[],[]
University of Charleston (West Virginia),Division II,Division II,Non-DI,Active Member,Mountain East Conference,Mountain East Conference,Non-HBCU,Private,Research Universities,"Charleston, WV",www.ucgoldeneagles.com,www.ucwv.edu,38.3505995,-81.6332812,[],[]
Berry College,Division III,Division III,Non-DI,Active Member,Southern Athletic Association,Southern Athletic Association,Non-HBCU,Private,Master's Colleges & Universities,"Mount Berry, GA",www.berry.edu,www.berryvikings.com,34.2798482,-85.1820652,"['/_global/_images/logo-wordmark.svg', '/_global/_images/logo-badge.svg']","['https://www.berry.edu', 'https://www.berry.edu']"
Eastern Kentucky University,Division I,Division I,DI FCS,Active Member,Ohio Valley Conference,Ohio Valley Conference,Non-HBCU,Public,Master's Colleges & Universities,"Richmond, KY",www.eku.edu,www.ekusports.com,37.7478572,-84.2946539,[],[]
Georgia Southwestern State University,Division II,Division II,Non-DI,Active Member,Peach Belt Conference,Peach Belt Conference,Non-HBCU,Public,Master's Colleges & Universities,"Americus, GA",www.gsw.edu,www.gswcanes.com,32.0723862,-84.2326876,"['/assets/template/logo-gswprimary-blue.svg', '/assets/template/logo-gswprimary-white.svg', '/assets/template/logo-gswprimary-monoblue.svg']","['https://www.gsw.edu', 'https://www.gsw.edu', 'https://www.gsw.edu']"
Kennesaw State University,Division I,Division I,DI FCS,Active Member,ASUN Conference,ASUN Conference,Non-HBCU,Public,Research Universities,"Kennesaw, GA",www.kennesaw.edu/,www.ksuowls.com,34.0234337,-84.6154897,"['https://webstatic.kennesaw.edu/_omni/images/global/logo_mobile.png?v=1', 'https://webstatic.kennesaw.edu/_omni/images/global/logo_black.png?v=1']","['https://www.kennesaw.edu/', 'https://www.kennesaw.edu/']"
University of Kentucky,Division I,Division I,DI FBS,Active Member,Southeastern Conference,Southeastern Conference,Non-HBCU,Public,Research Universities,"Lexington, KY",www.ukathletics.com,www.uky.edu,38.0464066,-84.4970393,"['https://dbukjj6eu5tsf.cloudfront.net/ukathletics.com/images/main_logo.png', 'https://dbukjj6eu5tsf.cloudfront.net/ukathletics.com/images/scrollstick_logo.png', 'https://images.sidearmsports.com/logos.sidearmsports.com/footer_logos/sidearm/sidearm_vertical_white.svg']","['https://ukathletics.com/', 'https://ukathletics.com/', 'https://ukathletics.com/']"
Savannah State University,Division I,Division I,DI FCS,Reclass DI to DII,Southern Intercol. Ath. Conf.,Southern Intercol. Ath. Conf.,HBCU,Public,Master's Colleges & Universities,"Savannah, GA",ssuathletics.com/,www.savannahstate.edu,32.0809263,-81.0911768,"['/images/logo_scroll.png', '/images/header_logo.png', '/images/footer_ncaa_logo_2.png']","['https://ssuathletics.com/', 'https://ssuathletics.com/', 'https://ssuathletics.com/']"
Marshall University,Division I,Division I,DI FBS,Active Member,Conference USA,Conference USA,Non-HBCU,Public,Research Universities,"Huntington, WV",www.herdzone.com,www.marshall.edu,38.4192496,-82.445154,"['https://dbukjj6eu5tsf.cloudfront.net/herdzone.com/images/responsive/nav_logo.svg', 'https://images.sidearmsports.com/logos.sidearmsports.com/footer_logos/sidearm/sidearm_powered-by_stacked_white-orange.svg']","['https://herdzone.com/', 'https://herdzone.com/']"
Kentucky State University,Division II,Division II,Non-DI,Active Member,Southern Intercol. Ath. Conf.,Southern Intercol. Ath. Conf.,HBCU,Public,Baccalaureate Colleges,"Frankfort, KY",www.ksuthorobreds.com,www.kysu.edu/,38.2009055,-84.8732836,['https://dbukjj6eu5tsf.cloudfront.net/sidearm.sites/kysu.sidearmsports.com/images/responsive/kysu_logo.svg'],['https://ksuthorobreds.com/']
