School Name,Primary Division,Sport Division,Subdivision,Membership Status,Primary Conference,Sport Conference,HBCU/Non-HBCU,Public/Private,Carnegie Classification,City/State ,Primary URL,Secondary URL,Latitude,Longitude,Primary Icon,Updated Latitude,Updated Longitude
Albany State University (Georgia),Division II,Division II,Non-DI,Active Member,Southern Intercol. Ath. Conf.,Southern Intercol. Ath. Conf.,HBCU,Public,Master's Colleges & Universities,"Albany, GA",www.asugoldenrams.com,www.asurams.edu,31.5782062,-84.1556809,66.site.png.png,31.5782062,-84.1556809
University of New Orleans,Division I,Division I,DI Subdivision,Active Member,Southland Conference,Southland Conference,Non-HBCU,Public,Research Universities,"New Orleans, LA",www.uno.edu,www.unoprivateers.com,29.9499323,-90.0701156,67.og-image.jpg.jpg,29.9499323,-90.0701156
Tulane University,Division I,Division I,DI FBS,Active Member,American Athletic Conference,American Athletic Conference,Non-HBCU,Private,Research Universities,"New Orleans, LA",www.tulane.edu,www.tulanegreenwave.com/index-main.html,29.9499323,-90.0701156,68.favicon_0.ico.ico,29.9499323,-90.0701156
Nicholls State University,Division I,Division I,DI FCS,Active Member,Southland Conference,Southland Conference,Non-HBCU,Public,Master's Colleges & Universities,"Thibodaux, LA",www.geauxcolonels.com,www.nicholls.edu/,29.7957633,-90.822871,69.favicon.ico.ico,29.7957633,-90.822871
Southeastern Louisiana University,Division I,Division I,DI FCS,Active Member,Southland Conference,Southland Conference,Non-HBCU,Public,Master's Colleges & Universities,"Hammond, LA",www.lionsports.net,www.selu.edu,41.5833658,-87.500043,70.site.png.png,30.5043583,-90.4611995
Louisiana State University,Division I,Division I,DI FBS,Active Member,Southeastern Conference,Southeastern Conference,Non-HBCU,Public,Research Universities,"Baton Rouge, LA",www.lsu.edu,www.lsusports.net,30.4459596,-91.18738,71.favicon.ico.ico,30.4459596,-91.18738
"Southern University, Baton Rouge",Division I,Division I,DI FCS,Active Member,Southwestern Athletic Conf.,Southwestern Athletic Conf.,HBCU,Public,Master's Colleges & Universities,"Baton Rouge, LA",www.gojagsports.com,www.subr.edu,30.4459596,-91.18738,72.site.png.png,30.4459596,-91.18738
Alcorn State University,Division I,Division I,DI FCS,Active Member,Southwestern Athletic Conf.,Southwestern Athletic Conf.,HBCU,Public,Master's Colleges & Universities,"Alcorn State, MS",www.alcorn.edu,www.alcornsports.com,31.8779382,-91.1392755,73.favicon.ico.ico,34.8734817,-88.5667345
University of Louisiana Monroe,Division I,Division I,DI FBS,Active Member,Sun Belt Conference,Sun Belt Conference,Non-HBCU,Public,Research Universities,"Monroe, LA",www.ulm.edu,www.ulmwarhawks.com,38.2722313,-90.1792484,74.favicon.ico.ico,32.5093109,-92.1193012
Louisiana Tech University,Division I,Division I,DI FBS,Active Member,Conference USA,Conference USA,Non-HBCU,Public,Research Universities,"Ruston, LA",www.latech.edu/,www.latechsports.com/,32.5232053,-92.637927,,32.5232053,-92.637927
Grambling State University,Division I,Division I,DI FCS,Active Member,Southwestern Athletic Conf.,Southwestern Athletic Conf.,HBCU,Public,Master's Colleges & Universities,"Grambling, LA",www.gram.edu,www.gsutigers.com,32.5276503,-92.7140403,76.steeple-touch-icon.png.png,32.5276503,-92.7140403
Centenary College (Louisiana),Division III,Division III,Non-DI,Active Member,Southern Collegiate Athletic Conference,Southern Collegiate Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Shreveport, LA",www.GoCentenary.com,www.centenary.edu,32.5221828,-93.7651944,77.thumbnail_default.jpg.jpg,32.5221828,-93.7651944
McNeese State University,Division I,Division I,DI FCS,Active Member,Southland Conference,Southland Conference,Non-HBCU,Public,Master's Colleges & Universities,"Lake Charles, LA",www.mcneese.edu/,www.mcneesesports.com,30.2265949,-93.2173759,78.fallback.jpg.jpg,30.2265949,-93.2173759
Northwestern State University,Division I,Division I,DI FCS,Active Member,Southland Conference,Southland Conference,Non-HBCU,Public,Master's Colleges & Universities,"Natchitoches, LA",www.nsudemons.com,www.nsula.edu,31.7606732,-93.0860209,79.favicon.ico.ico,31.7606732,-93.0860209
Louisiana College,Division III,Division III,Non-DI,Active Member,American Southwest Conference,American Southwest Conference,Non-HBCU,Private,Master's Colleges & Universities,"Pineville, LA",www.lacollege.edu,www.lcwildcats.net,36.7620301,-83.6949176,,31.3224044,-92.4343035
Morehead State University,Division I,Division I,DI FCS,Active Member,Ohio Valley Conference,Ohio Valley Conference,Non-HBCU,Public,Master's Colleges & Universities,"Morehead, KY",www.moreheadstate.edu,www.msueagles.com,38.1839705,-83.4326841,81.favicon.ico.ico,38.1839705,-83.4326841
Spring Hill College,Division II,Division II,Non-DI,Active Member,Southern Intercol. Ath. Conf.,Southern Intercol. Ath. Conf.,Non-HBCU,Private,Baccalaureate Colleges,"Mobile, AL",www.shc.edu,www.shcbadgers.com,30.6943566,-88.0430541,82.favicon.gif.gif,30.6943566,-88.0430541
